Dystans do przejœcia: 20, d³ugoœæ kroku: 1
0: (x,y) = (0, 0)
1: (x,y) = (-0.891007, 0.45399)
2: (x,y) = (-1.06465, 1.4388)
3: (x,y) = (-0.287509, 2.06812)
4: (x,y) = (-1.07552, 1.45246)
5: (x,y) = (-0.161974, 1.85919)
6: (x,y) = (-0.437611, 2.82046)
7: (x,y) = (0.317098, 2.1644)
8: (x,y) = (0.21257, 1.16987)
9: (x,y) = (0.230022, 2.16972)
10: (x,y) = (1.08719, 1.65468)
11: (x,y) = (0.355836, 0.972686)
12: (x,y) = (0.870874, 0.115519)
13: (x,y) = (-0.0746448, -0.21005)
14: (x,y) = (0.656709, 0.471949)
15: (x,y) = (1.63108, 0.246998)
16: (x,y) = (1.66598, -0.752393)
17: (x,y) = (2.60567, -1.09441)
18: (x,y) = (2.51852, -2.09061)
19: (x,y) = (2.04904, -2.97356)
20: (x,y) = (2.42365, -2.04637)
21: (x,y) = (2.03292, -2.96688)
22: (x,y) = (1.75728, -3.92814)
23: (x,y) = (1.53233, -2.95377)
24: (x,y) = (1.39316, -3.94404)
25: (x,y) = (1.03479, -3.01046)
26: (x,y) = (1.98585, -3.31947)
27: (x,y) = (2.66784, -4.05083)
28: (x,y) = (3.19776, -3.20278)
29: (x,y) = (3.77134, -2.38363)
30: (x,y) = (3.78879, -3.38347)
31: (x,y) = (3.73646, -2.38484)
32: (x,y) = (3.36185, -1.45766)
33: (x,y) = (3.08621, -0.496399)
34: (x,y) = (2.35486, -1.1784)
35: (x,y) = (3.35425, -1.1435)
36: (x,y) = (4.06136, -0.436391)
37: (x,y) = (3.81943, -1.40669)
38: (x,y) = (4.68546, -0.906687)
39: (x,y) = (5.65983, -0.681736)
40: (x,y) = (4.66227, -0.611979)
41: (x,y) = (5.66166, -0.57708)
42: (x,y) = (6.05239, -1.49758)
43: (x,y) = (6.95118, -1.93596)
44: (x,y) = (5.95666, -2.04048)
45: (x,y) = (6.89024, -2.39885)
46: (x,y) = (5.91587, -2.1739)
47: (x,y) = (5.34229, -2.99305)
48: (x,y) = (6.19946, -3.50809)
49: (x,y) = (7.11997, -3.11736)
50: (x,y) = (6.51815, -2.31872)
51: (x,y) = (7.51572, -2.38848)
52: (x,y) = (7.53317, -3.38833)
53: (x,y) = (7.29125, -2.41803)
54: (x,y) = (6.42522, -2.91803)
55: (x,y) = (5.45085, -2.69308)
56: (x,y) = (4.46604, -2.86673)
57: (x,y) = (3.86423, -2.06809)
58: (x,y) = (3.45749, -2.98164)
59: (x,y) = (3.16512, -3.93794)
60: (x,y) = (3.94227, -3.30862)
61: (x,y) = (3.05932, -2.83915)
62: (x,y) = (2.09806, -3.11479)
63: (x,y) = (2.33998, -2.14449)
64: (x,y) = (2.30508, -3.14389)
65: (x,y) = (2.84972, -2.30521)
66: (x,y) = (2.10657, -1.63608)
67: (x,y) = (2.51331, -2.54963)
68: (x,y) = (1.5285, -2.37598)
69: (x,y) = (1.90311, -1.4488)
70: (x,y) = (1.22111, -2.18015)
71: (x,y) = (1.75103, -1.3321)
72: (x,y) = (1.06903, -2.06346)
73: (x,y) = (0.481246, -2.87247)
74: (x,y) = (0.568401, -3.86867)
75: (x,y) = (1.03787, -4.75162)
76: (x,y) = (1.96506, -5.12622)
77: (x,y) = (1.28306, -5.85758)
78: (x,y) = (0.640271, -6.62362)
79: (x,y) = (0.76214, -7.61617)
80: (x,y) = (1.7234, -7.8918)
81: (x,y) = (1.82793, -8.88633)
82: (x,y) = (1.45332, -7.95914)
83: (x,y) = (1.84405, -8.87965)
84: (x,y) = (1.7569, -7.88345)
85: (x,y) = (1.14124, -8.67146)
86: (x,y) = (0.984803, -7.68378)
87: (x,y) = (1.20975, -8.65815)
88: (x,y) = (1.81157, -7.85951)
89: (x,y) = (0.860513, -7.55049)
90: (x,y) = (1.10243, -8.52079)
91: (x,y) = (0.236409, -9.02079)
92: (x,y) = (0.340938, -8.02627)
93: (x,y) = (1.1981, -8.5413)
94: (x,y) = (0.990193, -7.56316)
95: (x,y) = (0.283086, -8.27026)
96: (x,y) = (1.27335, -8.40944)
97: (x,y) = (1.49831, -7.43507)
98: (x,y) = (0.508037, -7.57424)
99: (x,y) = (-0.173961, -6.84289)
100: (x,y) = (0.787301, -7.11852)
101: (x,y) = (1.07967, -6.16222)
102: (x,y) = (0.146092, -6.52059)
103: (x,y) = (1.00326, -6.00555)
104: (x,y) = (0.194242, -5.41776)
105: (x,y) = (0.0550693, -4.4275)
106: (x,y) = (-0.220568, -3.46623)
107: (x,y) = (-0.705378, -4.34085)
108: (x,y) = (-0.175458, -5.1889)
109: (x,y) = (0.824389, -5.20635)
110: (x,y) = (1.51905, -4.48701)
111: (x,y) = (0.628041, -4.941)
112: (x,y) = (1.51099, -5.41048)
113: (x,y) = (1.7189, -6.38862)
114: (x,y) = (1.26491, -5.49762)
115: (x,y) = (1.23001, -6.49701)
116: (x,y) = (0.807392, -7.40332)
117: (x,y) = (0.164605, -8.16936)
118: (x,y) = (1.00328, -8.714)
119: (x,y) = (0.308617, -9.43334)
120: (x,y) = (1.03997, -8.75134)
121: (x,y) = (0.320631, -9.446)
122: (x,y) = (1.32002, -9.4809)
123: (x,y) = (1.78949, -8.59795)
124: (x,y) = (0.807866, -8.40714)
125: (x,y) = (0.482298, -9.35266)
126: (x,y) = (-0.492072, -9.12771)
127: (x,y) = (-0.544408, -10.1263)
128: (x,y) = (0.346598, -10.5803)
129: (x,y) = (-0.472554, -11.1539)
130: (x,y) = (-1.4724, -11.1714)
131: (x,y) = (-0.502106, -10.9294)
132: (x,y) = (0.0570871, -10.1004)
133: (x,y) = (0.399107, -11.0401)
134: (x,y) = (-0.600284, -11.075)
135: (x,y) = (-0.530527, -12.0726)
136: (x,y) = (-0.635056, -13.0671)
137: (x,y) = (-0.309487, -14.0126)
138: (x,y) = (-0.585125, -13.0513)
139: (x,y) = (-1.26712, -12.32)
140: (x,y) = (-1.05921, -11.3418)
141: (x,y) = (-0.485635, -12.161)
142: (x,y) = (-1.37664, -11.707)
143: (x,y) = (-2.27544, -11.2686)
144: (x,y) = (-3.2367, -11.5443)
145: (x,y) = (-4.11132, -12.0291)
146: (x,y) = (-5.01762, -12.4517)
147: (x,y) = (-4.0517, -12.7105)
148: (x,y) = (-3.62908, -11.8042)
149: (x,y) = (-4.6236, -11.9087)
